i_iter,reward,result
1,756.59,6_8_5_13_10_12_9_3_18_12_16_0_15_1_17_11_12_13_19_2
2,756.59,6_8_5_13_10_12_9_3_18_12_16_0_15_1_17_11_12_13_19_2
3,777.91,19_0_5_11_9_2_17_2_10_12_3_3_14_19_8_13_1_14_15_16
4,782.72,19_0_5_11_9_2_17_2_10_12_3_3_14_17_8_13_1_14_15_16
5,809.77,19_0_5_11_18_2_17_2_10_12_3_12_14_5_8_13_1_6_15_16
6,816.13,19_0_5_11_9_2_17_13_10_12_3_12_14_17_8_13_1_6_15_16
7,825.56,19_0_5_11_4_2_8_12_10_10_3_12_14_7_17_6_9_13_10_16
8,845.21,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_7_16
9,845.21,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_7_16
10,845.21,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_7_16
11,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
12,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
13,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
14,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
15,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
16,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
17,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
18,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
19,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
20,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
21,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
22,889.51,19_0_5_9_4_2_13_8_10_15_3_12_14_1_17_6_18_11_7_16
23,889.51,19_0_5_9_4_2_13_8_10_15_3_12_14_1_17_6_18_11_7_16
24,889.51,19_0_5_9_4_2_13_8_10_15_3_12_14_1_17_6_18_11_7_16
