i_iter,reward,result
1,756.99,13_9_10_3_2_13_12_8_16_14_19_19_4_7_11_17_5_4_5_2
2,756.99,13_9_10_3_2_13_12_8_16_14_19_19_4_7_11_17_5_4_5_2
3,756.99,13_9_10_3_2_13_12_8_16_14_19_19_4_7_11_17_5_4_5_2
4,794.23,5_11_17_10_3_1_16_18_12_13_16_4_0_15_5_2_8_7_9_2
5,804.95,14_11_17_10_3_1_16_18_17_13_5_4_0_15_12_2_8_7_9_2
6,804.95,14_11_17_10_3_1_16_18_17_13_5_4_0_15_12_2_8_7_9_2
7,830.25,19_6_17_10_3_18_16_14_8_13_5_4_0_15_2_2_8_7_9_12
8,830.25,19_6_17_10_3_18_16_14_8_13_5_4_0_15_2_2_8_7_9_12
9,830.25,19_6_17_10_3_18_16_14_8_13_5_4_0_15_2_2_8_7_9_12
10,830.25,19_6_17_10_3_18_16_14_8_13_5_4_0_15_2_2_8_7_9_12
11,830.25,19_6_17_10_3_18_16_14_8_13_5_4_0_15_2_2_8_7_9_12
12,836.40,5_6_17_10_3_0_16_13_11_1_5_4_0_15_14_2_8_7_9_12
13,836.40,5_6_17_10_3_0_16_13_11_1_5_4_0_15_14_2_8_7_9_12
14,836.40,5_6_17_10_3_0_16_13_11_1_5_4_0_15_14_2_8_7_9_12
15,841.46,14_6_17_10_3_18_16_13_11_12_5_4_0_18_16_2_8_7_9_2
16,841.46,14_6_17_10_3_18_16_13_11_12_5_4_0_18_16_2_8_7_9_2
17,841.46,14_6_17_10_3_18_16_13_11_12_5_4_0_18_16_2_8_7_9_2
18,849.52,14_6_17_10_3_18_16_13_11_12_5_4_0_15_13_2_8_7_9_2
19,849.52,14_6_17_10_3_18_16_13_11_12_5_4_0_15_13_2_8_7_9_2
20,850.67,14_6_17_10_3_18_16_13_11_11_5_4_0_15_9_2_8_7_9_12
21,850.67,14_6_17_10_3_18_16_13_11_11_5_4_0_15_9_2_8_7_9_12
22,850.67,14_6_17_10_3_18_16_13_11_11_5_4_0_15_9_2_8_7_9_12
23,854.15,11_6_17_10_3_18_16_13_4_18_5_4_0_15_14_2_8_7_9_12
24,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
25,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
26,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
27,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
28,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
29,867.72,5_6_17_10_18_3_16_13_11_1_5_4_0_15_14_2_8_7_9_12
30,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
31,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
32,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
33,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
34,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
35,886.49,18_6_17_10_3_19_16_13_11_1_5_4_0_15_14_2_8_7_9_12
36,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
37,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
38,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
39,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
40,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
41,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
42,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
43,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
44,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
45,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
46,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
47,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
48,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
49,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
50,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
51,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
52,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
53,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
54,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
55,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
56,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
57,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
58,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
59,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
60,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
61,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
62,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
63,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
64,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
65,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
66,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
67,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
68,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
69,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
