i_iter,reward,result
1,760.11,8_6_2_15_5_7_3_12_17_19_14_7_13_0_16_1_18_10_3_19
2,760.11,8_6_2_15_5_7_3_12_17_19_14_7_13_0_16_1_18_10_3_19
3,760.11,8_6_2_15_5_7_3_12_17_19_14_7_13_0_16_1_18_10_3_19
4,760.11,8_6_2_15_5_7_3_12_17_19_14_7_13_0_16_1_18_10_3_19
5,822.34,19_17_5_8_15_2_7_11_10_18_3_12_14_13_0_9_4_18_18_16
6,822.34,19_17_5_8_15_2_7_11_10_18_3_12_14_13_0_9_4_18_18_16
7,822.34,19_17_5_8_15_2_7_11_10_18_3_12_14_13_0_9_4_18_18_16
8,822.34,19_17_5_8_15_2_7_11_10_18_3_12_14_13_0_9_4_18_18_16
9,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
10,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
11,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
12,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
13,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
14,831.11,19_0_5_11_4_2_8_0_10_18_3_12_14_13_17_6_15_9_8_16
15,845.86,19_0_5_8_1_2_11_1_10_6_3_0_14_12_9_7_15_18_13_16
16,851.19,19_0_5_11_8_2_6_11_10_18_3_12_14_13_17_1_8_7_4_16
17,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
18,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
19,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
20,876.90,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16
21,879.07,19_0_5_11_4_2_8_13_10_15_3_12_14_8_17_6_18_9_7_16
22,879.07,19_0_5_11_4_2_8_13_10_15_3_12_14_8_17_6_18_9_7_16
23,879.07,19_0_5_11_4_2_8_13_10_15_3_12_14_8_17_6_18_9_7_16
24,879.07,19_0_5_11_4_2_8_13_10_15_3_12_14_8_17_6_18_9_7_16
25,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
26,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
27,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
28,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
29,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
30,881.91,19_0_5_11_4_2_13_8_10_0_3_12_14_1_17_6_18_9_7_16
31,882.17,19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16
32,882.17,19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16
33,882.17,19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16
34,882.17,19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16
35,882.17,19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16
