i_iter,reward,result
1,747.16,12_8_9_10_14_2_15_4_3_11_16_1_8_19_5_12_18_14_6_13
2,777.24,11_8_5_7_14_6_14_18_17_13_10_12_0_5_4_17_3_16_19_10
3,777.24,11_8_5_7_14_6_14_18_17_13_10_12_0_5_4_17_3_16_19_10
4,777.24,11_8_5_7_14_6_14_18_17_13_10_12_0_5_4_17_3_16_19_10
5,792.96,19_0_5_11_14_2_12_10_10_9_3_12_14_11_13_7_8_15_18_16
6,792.96,19_0_5_11_14_2_12_10_10_9_3_12_14_11_13_7_8_15_18_16
7,796.80,19_8_5_8_17_2_3_10_7_12_13_0_11_12_3_9_1_9_4_16
8,801.55,19_0_5_11_4_2_8_7_10_15_3_12_14_5_17_6_13_13_10_16
9,833.24,19_0_5_11_14_2_12_19_10_9_3_13_14_15_17_7_8_7_18_16
10,833.24,19_0_5_11_14_2_12_19_10_9_3_13_14_15_17_7_8_7_18_16
11,834.76,19_0_5_11_1_2_1_2_10_7_3_12_14_11_17_6_8_13_18_16
12,834.76,19_0_5_11_1_2_1_2_10_7_3_12_14_11_17_6_8_13_18_16
13,852.02,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_17_16
14,852.02,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_17_16
15,852.02,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_7_17_16
16,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
17,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
18,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
19,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
20,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
21,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
22,865.42,19_0_5_11_17_2_13_8_10_15_3_12_14_8_9_6_18_7_17_16
23,870.44,19_0_5_11_18_2_2_7_10_9_3_12_14_1_17_6_8_13_18_16
24,870.44,19_0_5_11_18_2_2_7_10_9_3_12_14_1_17_6_8_13_18_16
25,870.44,19_0_5_11_18_2_2_7_10_9_3_12_14_1_17_6_8_13_18_16
26,870.44,19_0_5_11_18_2_2_7_10_9_3_12_14_1_17_6_8_13_18_16
27,870.44,19_0_5_11_18_2_2_7_10_9_3_12_14_1_17_6_8_13_18_16
28,878.17,19_0_5_11_13_2_7_8_10_9_3_12_14_1_17_6_8_15_18_16
29,878.17,19_0_5_11_13_2_7_8_10_9_3_12_14_1_17_6_8_15_18_16
30,878.17,19_0_5_11_13_2_7_8_10_9_3_12_14_1_17_6_8_15_18_16
31,878.17,19_0_5_11_13_2_7_8_10_9_3_12_14_1_17_6_8_15_18_16
32,878.17,19_0_5_11_13_2_7_8_10_9_3_12_14_1_17_6_8_15_18_16
33,884.96,19_0_5_11_4_2_7_8_10_9_3_12_14_1_17_6_17_13_18_16
34,884.96,19_0_5_11_4_2_7_8_10_9_3_12_14_1_17_6_17_13_18_16
35,884.96,19_0_5_11_4_2_7_8_10_9_3_12_14_1_17_6_17_13_18_16
36,887.00,19_0_5_11_4_2_7_17_10_9_3_12_14_1_17_6_8_13_18_16
37,887.00,19_0_5_11_4_2_7_17_10_9_3_12_14_1_17_6_8_13_18_16
38,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
39,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
40,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
41,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
42,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
43,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
44,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
45,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
46,888.04,19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16
