i_iter,reward,result
1,747.11,9_5_8_19_11_19_0_0_10_7_1_14_13_10_3_18_4_16_17_12
2,747.11,9_5_8_19_11_19_0_0_10_7_1_14_13_10_3_18_4_16_17_12
3,747.11,9_5_8_19_11_19_0_0_10_7_1_14_13_10_3_18_4_16_17_12
4,765.43,7_14_5_10_6_0_8_12_13_17_0_1_2_15_16_8_4_12_3_19
5,771.65,15_8_12_16_17_19_9_13_18_9_10_0_2_0_11_3_3_17_6_5
6,771.65,15_8_12_16_17_19_9_13_18_9_10_0_2_0_11_3_3_17_6_5
7,771.65,15_8_12_16_17_19_9_13_18_9_10_0_2_0_11_3_3_17_6_5
8,771.65,15_8_12_16_17_19_9_13_18_9_10_0_2_0_11_3_3_17_6_5
9,771.65,15_8_12_16_17_19_9_13_18_9_10_0_2_0_11_3_3_17_6_5
10,803.16,0_14_13_16_11_8_12_17_7_5_10_0_19_2_1_15_9_6_18_19
11,817.80,19_6_17_10_3_13_16_16_14_12_5_4_0_15_1_2_8_7_9_15
12,817.80,19_6_17_10_3_13_16_16_14_12_5_4_0_15_1_2_8_7_9_15
13,817.80,19_6_17_10_3_13_16_16_14_12_5_4_0_15_1_2_8_7_9_15
14,817.80,19_6_17_10_3_13_16_16_14_12_5_4_0_15_1_2_8_7_9_15
15,817.80,19_6_17_10_3_13_16_16_14_12_5_4_0_15_1_2_8_7_9_15
16,818.44,18_11_17_10_3_5_16_6_14_12_0_4_0_15_13_2_8_7_9_12
17,818.44,18_11_17_10_3_5_16_6_14_12_0_4_0_15_13_2_8_7_9_12
18,819.87,18_8_17_10_3_5_16_12_14_6_5_4_0_15_13_2_8_7_9_19
19,824.38,18_8_17_10_3_5_16_12_19_6_5_4_0_15_13_2_8_7_9_14
20,833.78,11_15_17_16_3_19_0_14_8_5_10_4_13_1_1_2_5_7_18_12
21,849.62,9_2_17_16_3_19_0_18_14_15_10_4_13_6_1_2_5_7_8_12
22,849.62,9_2_17_16_3_19_0_18_14_15_10_4_13_6_1_2_5_7_8_12
23,850.86,13_6_17_10_3_18_16_11_12_13_5_4_0_15_2_2_8_7_9_14
24,850.86,13_6_17_10_3_18_16_11_12_13_5_4_0_15_2_2_8_7_9_14
25,850.86,13_6_17_10_3_18_16_11_12_13_5_4_0_15_2_2_8_7_9_14
26,850.86,13_6_17_10_3_18_16_11_12_13_5_4_0_15_2_2_8_7_9_14
27,861.82,3_6_17_10_19_2_16_11_12_5_13_11_0_15_1_14_8_7_9_18
28,861.82,3_6_17_10_19_2_16_11_12_5_13_11_0_15_1_14_8_7_9_18
29,861.82,3_6_17_10_19_2_16_11_12_5_13_11_0_15_1_14_8_7_9_18
30,861.82,3_6_17_10_19_2_16_11_12_5_13_11_0_15_1_14_8_7_9_18
31,861.82,3_6_17_10_19_2_16_11_12_5_13_11_0_15_1_14_8_7_9_18
32,862.77,15_6_17_10_3_2_16_11_12_13_5_4_0_18_1_2_8_7_9_14
33,862.77,15_6_17_10_3_2_16_11_12_13_5_4_0_18_1_2_8_7_9_14
34,862.77,15_6_17_10_3_2_16_11_12_13_5_4_0_18_1_2_8_7_9_14
35,862.77,15_6_17_10_3_2_16_11_12_13_5_4_0_18_1_2_8_7_9_14
36,867.96,16_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
37,867.96,16_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
38,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
39,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
40,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
41,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
42,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
43,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
44,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
45,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
46,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
47,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
48,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
49,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
50,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
51,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
52,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
53,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
54,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
55,892.15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13
56,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
57,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
58,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
59,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
60,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
61,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
62,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
63,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
64,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
65,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
66,903.93,19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0
67,905.49,19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11
68,905.49,19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11
