"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,0_3_2_1_4,327.082,14
5,10,2_3_0_1_4,319.545,3
5,15,2_0_1_3_4,300.508,5
5,20,0_3_2_1_4,327.082,5
5,25,0_3_2_1_4,327.082,7
5,30,0_3_2_1_4,327.082,3
10,5,0_3_2_1_4,327.082,40
10,10,0_3_2_1_4,327.082,18
10,15,0_3_2_1_4,327.082,14
10,20,0_3_2_1_4,327.082,14
10,25,0_3_2_1_4,327.082,14
10,30,0_3_2_1_4,327.082,8
15,5,4_3_2_1_0,328.636,1000
15,10,0_3_2_1_4,327.082,13
15,15,4_3_2_1_0,328.636,1000
15,20,0_3_2_1_4,327.082,19
15,25,0_3_2_1_4,327.082,14
15,30,0_3_2_1_4,327.082,11
20,5,4_3_2_1_0,328.636,1000
20,10,4_3_2_1_0,328.636,1000
20,15,0_3_2_1_4,327.082,18
20,20,0_3_2_1_4,327.082,16
20,25,0_3_2_1_4,327.082,16
20,30,0_3_2_1_4,327.082,18
25,5,0_3_2_1_4,327.082,93
25,10,0_3_2_1_4,327.082,52
25,15,4_3_2_1_0,328.636,1000
25,20,0_3_2_1_4,327.082,19
25,25,0_3_2_1_4,327.082,17
25,30,4_3_2_1_0,328.636,1000
30,5,4_3_2_1_0,328.636,1000
30,10,4_3_2_1_0,328.636,1000
30,15,4_3_2_1_0,328.636,1000
30,20,4_3_2_1_0,328.636,1000
30,25,4_3_2_1_0,328.636,1000
30,30,0_3_2_1_4,327.082,16
