result,reward,convergence_iter
18_1_5_9_3_2_4_13_10_12_17_19_14_0_11_6_8_7_15_16,955.255,5000
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,5000
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,5000
18_1_5_9_3_2_4_13_10_12_17_19_14_0_11_6_8_7_15_16,955.255,5000
19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,47
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,5000
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,4272
19_1_5_9_3_18_2_13_10_0_17_12_14_4_11_6_8_7_15_16,954.332,4932
