population_multiplier,offsprings_multiplier,result,reward,convergence_iter
10,10,21_2_39_22_30_32_26_13_23_6_8_34_7_5_1_37_23_28_35_11_17_9_15_24_35_33_25_16_10_27_31_0_38_19_29_36_3_20_4_18,2278.890,15000
10,15,6_11_29_19_37_9_27_10_23_5_5_34_32_18_1_2_25_28_7_33_4_8_3_20_13_35_31_16_30_15_36_22_39_0_4_26_24_17_21_38,2091.765,179
15,10,21_8_39_22_18_10_4_0_4_6_38_9_14_25_1_36_7_28_2_23_17_20_26_24_13_33_35_16_11_5_31_12_34_19_29_37_32_15_27_30,2406.607,15000
15,15,6_11_29_19_37_9_27_10_23_5_5_34_32_18_1_2_25_28_7_33_4_8_3_20_13_35_31_16_10_15_36_22_39_0_4_26_24_17_21_38,2032.958,27
