"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
10,10,31_21_9_10_36_32_23_7_30_6_2_34_14_38_13_8_22_28_16_26_12_24_15_27_39_33_17_25_19_5_0_20_1_35_29_37_3_18_4_11,2415.821,15000
10,15,31_35_19_1_18_26_23_13_12_22_2_20_7_29_8_34_37_4_16_32_17_9_38_3_30_33_5_25_10_27_0_6_14_24_28_39_36_15_21_11,2418.602,15000
15,10,34_20_39_10_0_26_31_27_24_18_15_16_14_5_36_37_22_28_2_11_6_9_35_21_13_33_17_23_3_7_25_8_38_19_29_12_32_30_4_1,2422.675,15000
15,15,21_20_33_22_36_34_4_37_30_18_2_9_14_11_28_8_7_17_15_26_29_25_16_1_13_35_5_10_19_3_31_23_38_24_0_12_32_6_27_39,2412.854,15000
