population_multiplier,offsprings_multiplier,result,reward,convergence_iter
5,5,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,18
5,10,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,4
5,15,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,3
5,20,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,2
10,5,19_1_5_9_18_2_4_13_10_6_3_12_14_0_11_17_8_7_15_16,951.467,5000
10,10,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,12
10,15,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,5
10,20,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,4
15,5,19_1_5_18_17_2_3_13_10_0_4_12_14_9_11_6_8_7_16_17,937.026,5000
15,10,19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,5000
15,15,19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,5000
15,20,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,7
20,5,19_7_5_9_1_2_3_13_10_6_18_12_14_4_11_17_8_0_16_17,938.445,5000
20,10,19_1_5_9_18_2_17_13_10_0_3_12_14_4_11_6_8_7_15_16,949.977,5000
20,15,19_1_5_18_3_2_4_13_10_0_17_12_14_9_11_6_8_7_15_16,949.489,5000
20,20,19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,9
