population_multiplier,offsprings_multiplier,result,reward,convergence_iter
5,5,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,22
5,10,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,7
5,15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,4
5,20,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,4
10,5,19_6_17_9_3_10_5_13_7_12_18_4_2_15_11_0_8_14_16_1,944.753,5000
10,10,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,18
10,15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,10
10,20,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,6
15,5,19_6_2_9_3_18_5_13_10_12_17_4_14_15_11_0_8_7_16_1,948.175,5000
15,10,19_6_2_9_3_18_5_1_10_12_14_4_13_0_11_17_8_7_15_16,950.499,5000
15,15,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,20
15,20,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,11
20,5,19_2_17_9_3_18_5_1_10_12_7_4_13_15_11_6_8_0_14_16,943.906,5000
20,10,19_6_2_9_3_18_5_1_10_12_14_4_13_0_11_17_8_7_15_16,950.499,5000
20,15,19_6_2_9_16_18_5_13_10_12_3_4_14_0_11_17_8_7_15_1,952.806,5000
20,20,19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,18
