result,reward,convergence_iter
19_6_2_9_3_18_5_13_10_12_15_4_14_0_11_17_8_7_16_1,950.907,5828
19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,69
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,103
19_6_17_10_3_18_16_11_14_12_5_4_13_15_1_2_8_7_9_0,903.932,50
19_6_17_10_3_18_16_1_13_12_5_4_0_15_11_2_8_7_9_14,906.868,114
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,10000
19_6_2_9_3_18_5_1_10_12_14_4_13_0_11_17_8_7_15_16,950.499,7054
19_6_2_9_16_18_5_13_10_12_3_4_14_0_11_17_8_7_15_1,952.806,6184
11_6_17_9_15_18_5_13_10_12_3_4_14_0_1_2_8_7_19_16,946.210,4511
19_6_2_9_16_18_5_13_10_12_3_4_14_0_11_17_8_7_15_1,952.806,6476
