result,reward,convergence_iter
19_1_5_18_17_2_3_13_10_0_4_12_14_9_11_6_8_7_16_17,937.026,1761
19_7_5_18_1_2_3_13_10_6_4_12_14_9_11_17_8_0_15_16,949.295,4440
19_0_5_11_4_2_1_13_10_15_3_12_14_8_17_6_18_9_7_16,884.693,37
19_0_5_11_4_2_9_18_10_0_3_12_14_7_17_6_8_13_15_16,891.980,51
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_16_17,938.690,2314
19_0_5_11_4_2_7_13_10_15_3_12_14_18_17_6_8_9_7_16,888.723,42
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,6839
19_0_5_11_4_2_13_1_10_2_3_12_14_18_17_6_8_9_7_16,886.069,43
19_0_5_9_4_2_13_8_10_15_3_12_14_1_17_6_18_11_7_16,889.510,24
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,8014
