result,reward,convergence_iter
11_1_2_8_15_3_5_13_10_0_17_12_18_9_4_6_14_7_19_16,948.350,10000
18_8_5_9_1_3_4_13_10_12_17_19_2_0_11_6_14_7_15_16,951.667,10000
11_6_2_9_1_10_3_17_7_12_18_19_13_0_4_14_8_5_15_16,951.071,10000
11_1_2_9_15_10_3_18_7_6_4_19_13_0_14_17_8_5_16_12,948.942,10000
11_1_17_18_16_2_5_8_10_12_3_19_13_9_7_6_14_0_15_4,949.475,10000
6_1_11_9_3_2_5_10_7_12_17_18_13_0_4_14_8_19_15_16,952.683,10000
2_1_7_9_15_18_5_17_10_6_4_12_13_0_11_3_8_19_16_14,949.190,10000
2_1_17_9_4_18_5_8_10_0_3_19_13_12_11_6_14_7_15_16,955.235,10000
11_6_2_8_3_18_5_10_7_12_4_19_13_9_1_17_14_0_15_16,954.049,10000
11_1_2_9_15_18_5_17_10_0_3_19_13_4_14_6_8_7_16_12,954.348,10000
