result,reward,convergence_iter
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,63
11_6_17_9_15_18_5_13_10_12_3_4_14_0_1_2_8_7_19_16,946.210,4576
19_6_2_9_3_18_5_13_10_12_15_4_14_0_11_17_8_7_16_1,950.907,2743
11_6_17_10_3_18_19_13_14_12_5_4_0_15_1_2_8_7_9_16,915.643,105
19_6_17_10_3_18_16_11_13_12_5_4_0_15_1_2_8_7_9_14,899.738,61
19_6_17_10_3_18_16_11_13_12_5_4_0_15_1_2_8_7_9_14,899.738,73
19_6_17_10_3_18_16_11_14_12_5_4_0_15_1_2_8_7_9_13,892.151,30
19_6_2_9_3_18_5_1_10_12_16_4_13_0_11_17_8_7_15_14,948.873,5212
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,2686
19_6_17_10_3_18_5_1_14_12_16_4_0_15_11_2_8_7_9_13,911.224,102
