result,reward,convergence_iter
15_1_17_9_3_10_5_8_7_12_4_19_13_18_11_6_14_0_16_2,952.131,10000
10_1_5_9_15_2_3_17_7_12_18_19_13_4_11_6_8_0_16_14,949.276,10000
2_1_6_9_17_18_5_10_7_12_4_19_13_0_11_3_8_14_15_16,954.938,10000
2_8_9_3_1_18_5_17_10_12_4_19_13_0_11_6_14_7_15_16,952.158,10000
6_1_7_9_18_2_3_13_10_12_17_19_14_4_11_0_8_5_15_16,948.849,10000
2_1_17_9_15_18_5_10_7_12_3_19_13_4_11_6_8_0_14_16,957.527,10000
19_8_5_9_1_18_2_17_10_12_3_4_13_0_11_6_14_7_15_16,953.311,10000
2_1_11_9_15_10_3_18_7_12_17_19_13_0_14_6_8_5_16_4,948.844,10000
11_1_17_9_15_18_2_10_7_0_3_19_13_4_14_6_8_5_16_12,951.425,10000
15_1_2_9_3_18_5_17_10_6_7_19_13_4_11_14_8_0_16_12,953.242,10000
