result,reward,convergence_iter
19_0_5_11_13_2_4_1_10_18_3_12_14_8_17_6_15_9_7_16,899.544,59
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,5747
19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,23
19_0_5_11_17_2_18_13_10_5_3_12_14_9_4_6_8_7_15_16,901.854,58
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,4962
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_16_17,938.690,2903
19_0_5_11_4_2_13_1_10_15_3_12_14_9_17_6_18_8_7_16,881.236,37
19_0_5_11_4_2_9_1_10_15_3_12_14_18_17_6_8_13_7_16,902.687,48
19_0_5_11_4_2_6_13_10_15_3_12_14_18_17_6_8_7_9_16,888.215,44
19_0_5_11_17_2_13_1_10_15_3_12_14_18_4_6_8_9_7_16,902.282,52
