result,reward,convergence_iter
2_15_17_9_1_10_3_13_7_12_4_18_14_0_11_6_8_5_19_16,949.812,10000
11_1_17_9_0_2_5_18_10_12_3_19_13_4_14_6_8_7_15_16,954.166,10000
2_8_17_9_1_18_5_10_7_12_3_19_13_4_11_6_14_0_15_16,960.188,10000
19_1_5_9_15_10_3_8_7_12_17_18_13_4_11_6_14_0_16_2,954.401,10000
15_8_7_9_1_2_5_17_10_12_3_18_13_4_11_6_14_0_19_16,951.906,10000
18_8_6_9_1_3_2_10_4_12_17_19_5_0_11_13_14_7_15_16,939.936,10000
2_1_6_9_3_18_5_17_10_12_0_19_13_4_11_14_8_7_15_16,952.941,10000
11_1_5_9_3_10_19_17_7_6_18_12_13_4_14_15_8_0_16_2,946.463,10000
2_6_3_9_1_18_5_17_7_19_10_4_13_12_11_14_8_0_15_16,942.805,10000
18_1_2_9_15_10_3_13_7_12_17_4_19_0_11_6_8_5_16_14,945.201,10000
