result,reward,convergence_iter
19_0_5_11_4_2_13_1_10_15_3_12_14_18_17_6_8_9_7_16,895.464,42
19_0_5_11_4_2_1_13_10_15_3_12_14_18_17_6_8_9_7_16,903.258,26
19_0_5_11_4_2_9_13_10_15_3_12_14_18_17_6_8_18_7_16,887.022,37
19_0_5_11_17_2_13_1_10_15_3_12_14_8_4_6_9_18_7_16,889.925,47
19_0_5_11_4_2_8_13_10_15_3_12_14_9_17_6_18_7_1_16,890.960,44
19_0_5_11_4_2_13_1_10_15_3_12_14_8_17_6_18_9_7_16,876.899,24
19_0_5_11_18_2_1_13_10_15_3_12_14_8_7_6_18_9_17_16,878.161,24
19_0_5_11_4_2_9_1_10_15_3_12_14_8_17_6_18_13_7_16,884.122,28
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_17_16,938.656,1740
19_0_5_11_0_2_18_13_10_15_3_12_14_4_17_6_8_9_7_16,888.880,55
