result,reward,convergence_iter
19_1_17_10_3_18_16_13_14_12_5_4_0_15_6_2_8_7_9_11,905.870,119
19_2_5_10_3_18_16_11_13_12_17_4_0_15_1_6_8_7_9_14,906.487,135
19_6_17_10_3_18_16_11_13_12_5_4_0_15_1_2_8_7_9_14,899.738,30
19_6_2_9_16_18_5_13_10_12_3_4_14_0_11_17_8_7_15_1,952.806,3881
13_6_17_10_19_18_9_11_14_12_3_4_0_15_1_2_8_7_16_5,896.366,70
19_6_2_9_3_18_5_13_10_12_17_4_14_15_11_0_8_7_16_1,948.175,2757
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,68
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,77
11_6_17_9_15_18_5_13_10_12_3_4_2_0_14_2_8_7_16_1,926.836,1825
19_6_2_9_3_18_5_13_10_12_17_4_14_15_11_0_8_7_16_1,948.175,2828
