result,reward,convergence_iter
11_6_2_9_1_18_5_10_7_12_3_19_13_4_14_17_8_0_15_16,956.757,10000
19_8_17_9_1_18_5_10_7_6_3_12_13_4_11_15_14_0_16_2,953.386,10000
19_1_17_9_16_18_5_10_7_12_3_14_13_4_11_6_8_0_15_2,955.888,10000
11_8_5_12_1_2_3_17_10_0_18_19_13_9_4_6_14_7_15_16,949.236,10000
2_6_3_9_1_18_5_10_7_12_4_19_13_0_11_17_8_14_15_16,953.923,10000
11_8_17_9_15_18_2_10_7_12_3_19_13_0_4_6_14_5_16_1,951.814,10000
2_1_17_9_15_18_5_10_7_12_3_19_13_4_11_6_8_0_16_14,958.115,10000
19_7_11_9_17_2_5_1_10_0_3_18_13_12_4_6_8_14_15_16,948.436,10000
2_1_17_9_15_18_5_8_10_6_4_12_13_0_11_3_14_7_19_16,954.688,10000
19_8_5_9_1_18_3_13_10_12_17_7_2_4_11_6_14_0_15_16,951.000,10000
