result,reward,convergence_iter
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,6619
19_1_2_9_3_18_5_13_10_12_15_4_14_0_11_17_8_7_6_16,950.268,5295
19_6_17_9_3_18_5_13_10_12_15_4_14_0_11_1_8_7_16_2,948.304,3065
19_6_17_10_3_18_16_13_14_12_5_4_0_15_1_2_8_7_9_11,905.486,74
19_6_17_9_3_18_5_13_7_12_10_4_14_15_11_2_8_0_16_1,941.073,1402
11_6_2_9_3_18_5_13_10_19_16_4_14_0_1_17_8_7_15_12,946.926,2935
19_6_2_9_3_18_5_13_10_12_17_4_14_15_11_0_8_7_16_1,948.175,2670
19_6_2_9_3_18_5_13_10_12_16_4_14_0_11_17_8_7_15_1,951.179,4465
11_2_17_9_4_18_5_13_10_0_3_19_14_15_1_6_8_7_16_12,944.624,10000
11_6_2_8_3_18_5_1_15_0_10_4_13_12_9_17_14_7_19_16,935.104,3169
