result,reward,convergence_iter
19_0_5_11_4_2_13_1_10_6_3_12_14_8_17_15_18_9_7_16,882.168,35
19_0_5_8_4_2_9_1_10_15_3_12_14_11_17_6_18_13_7_16,892.451,25
19_6_5_9_1_2_4_13_10_0_3_12_14_18_11_17_8_7_15_16,946.660,1309
19_1_5_9_18_2_3_13_10_0_17_12_14_4_11_6_8_7_15_16,953.059,4587
19_1_5_9_18_2_3_13_10_6_4_12_14_0_11_17_8_7_15_16,952.873,8260
19_1_5_18_17_2_3_13_10_0_4_12_14_9_11_6_8_7_17_16,936.936,1687
19_7_5_9_18_2_3_13_10_6_4_12_14_1_11_15_8_0_17_16,941.305,1372
19_0_5_11_4_2_9_7_10_15_3_12_14_1_17_6_8_13_18_16,888.038,46
19_0_5_11_4_2_9_13_10_15_3_12_14_18_17_6_8_7_17_16,893.512,39
19_7_5_9_18_2_3_13_10_6_4_12_14_18_11_17_8_0_15_16,929.795,824
