"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,3_13_5_15_24_19_9_17_10_27_22_14_1_2_12_16_6_25_11_4_7_8_0_28_23_21_20_26_29_18,1822.088,10000
5,10,0_11_27_15_14_18_24_17_28_9_22_8_1_7_6_5_4_13_2_20_3_10_26_19_29_23_21_25_16_12,1799.572,10000
5,15,3_20_25_4_12_24_2_14_15_17_22_11_21_7_6_19_27_9_29_18_0_10_16_13_23_1_8_26_28_5,1797.012,10000
5,20,22_20_21_11_14_5_2_10_28_17_16_8_4_15_12_18_27_9_26_6_13_24_28_19_29_23_25_7_0_3,1782.236,10000
10,5,0_17_6_15_19_24_9_16_26_27_22_25_4_1_12_7_10_3_29_5_21_8_14_2_20_23_13_11_28_18,1807.538,10000
10,10,1_13_21_11_26_24_9_10_28_4_23_5_12_2_6_16_3_25_29_19_18_8_0_22_20_15_14_7_27_17,1806.270,10000
10,15,26_19_3_20_24_13_9_16_22_17_1_21_4_15_12_7_27_25_29_6_10_2_0_14_5_23_8_11_28_18,1809.975,10000
10,20,5_11_27_15_19_24_2_10_22_25_0_7_23_18_6_1_14_3_29_17_13_8_16_9_26_4_20_21_28_12,1796.833,10000
15,5,1_20_5_4_24_19_9_0_15_26_11_14_21_2_10_7_6_3_29_17_18_8_22_13_23_27_25_16_28_12,1809.565,10000
15,10,26_20_6_15_21_25_19_10_28_9_0_14_4_1_12_16_24_3_2_17_7_5_13_11_29_23_8_22_27_18,1809.496,10000
15,15,5_20_27_13_26_25_2_10_22_17_0_3_4_15_6_1_11_9_29_19_7_8_24_28_23_16_14_21_12_18,1816.388,10000
15,20,26_11_21_13_24_19_6_28_20_27_10_3_4_15_5_7_14_9_29_17_0_28_22_2_23_16_8_25_12_18,1803.037,10000
20,5,8_13_27_15_19_0_9_12_28_17_10_11_24_4_6_7_3_25_14_20_23_5_22_2_29_18_21_1_16_26,1803.561,10000
20,10,5_21_6_11_28_25_9_10_1_4_22_18_23_15_12_3_27_14_29_17_13_24_19_2_20_16_8_7_0_26,1807.680,10000
20,15,0_2_21_15_24_25_9_16_10_4_22_11_8_18_12_7_6_3_14_17_13_27_19_28_26_23_20_1_29_5,1816.246,10000
20,20,14_20_3_15_1_25_9_0_22_27_5_11_4_2_6_7_21_18_12_10_13_24_16_28_26_19_8_23_29_17,1809.639,10000
