"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,4_3_8_2_0_9_1_7_5_6,553.869,7
5,10,4_3_8_2_0_9_1_7_5_6,553.869,3
5,15,4_3_8_2_0_9_1_7_5_6,553.869,2
5,20,4_3_8_2_0_9_1_7_5_6,553.869,2
10,5,6_8_9_2_4_0_1_7_5_3,603.382,713
10,10,6_8_9_2_4_0_1_7_5_3,603.382,473
10,15,4_3_8_2_0_9_1_7_5_6,553.869,4
10,20,6_8_9_2_0_4_1_7_5_3,601.917,500
15,5,3_8_9_6_2_0_1_4_5_7,616.805,3000
15,10,6_8_9_2_4_0_1_7_5_3,603.382,503
15,15,6_8_9_2_4_0_1_7_5_3,603.382,571
15,20,6_8_9_2_0_4_1_7_5_3,601.917,175
20,5,6_8_9_2_4_0_1_7_5_3,603.382,2153
20,10,6_8_9_2_4_0_1_7_5_3,603.382,857
20,15,6_8_9_2_4_0_1_7_5_3,603.382,573
20,20,6_8_9_2_4_0_1_7_5_3,603.382,486
