"population_multiplier, offsprings_multiplier, result, reward, convergence_iter"
5,5,3_8_2_6_5_0_1_4_9_7,622.688,1762
5,10,2_8_7_6_5_0_1_4_9_3,616.032,2609
5,15,3_8_9_6_5_0_2_4_1_7,620.031,3000
5,20,2_4_8_9_0_1_7_6_9_3,552.103,1625
10,5,2_8_3_6_5_0_1_4_9_7,619.627,3000
10,10,3_8_2_6_5_0_1_4_9_7,622.688,2142
10,15,3_8_9_6_5_0_1_4_2_7,618.250,3000
10,20,3_8_2_6_5_0_1_4_9_7,622.688,3000
15,5,3_8_2_6_5_0_1_4_9_7,622.688,3000
15,10,3_8_2_6_5_0_1_4_9_7,622.688,3000
15,15,2_8_9_6_5_0_7_4_1_3,617.339,3000
15,20,3_8_9_6_5_0_2_4_1_7,620.031,3000
20,5,3_8_2_6_5_0_1_4_9_7,622.688,3000
20,10,3_8_2_6_5_0_1_4_9_7,622.688,3000
20,15,3_8_2_6_5_0_1_4_9_7,622.688,3000
20,20,3_8_2_6_5_0_1_4_9_7,622.688,2840
